iter	Passed	Remaining
428	1762	2346
429	1767	2343
430	1770	2337
431	1772	2330
432	1774	2323
433	1776	2317
434	1778	2310
435	1786	2310
436	1789	2304
437	1791	2298
438	1793	2292
439	1800	2291
440	1802	2285
441	1805	2279
442	1807	2272
443	1813	2270
444	1815	2264
445	1817	2257
446	1819	2251
447	1821	2244
448	1823	2237
449	1826	2232
450	1830	2228
451	1833	2222
452	1835	2216
453	1838	2211
454	1843	2208
455	1845	2202
456	1847	2195
457	1849	2188
458	1850	2181
459	1852	2175
460	1857	2171
461	1859	2165
462	1861	2158
463	1863	2152
464	1864	2145
465	1866	2139
466	1868	2132
467	1872	2128
468	1874	2122
469	1876	2116
470	1878	2109
471	1879	2103
472	1881	2096
473	1883	2090
474	1886	2084
475	1888	2078
476	1890	2072
477	1891	2065
478	1893	2059
479	1895	2053
480	1900	2050
481	1902	2044
482	1904	2038
483	1905	2031
484	1908	2026
485	1909	2019
486	1914	2016
487	1916	2010
488	1919	2005
489	1921	1999
490	1923	1994
491	1925	1988
492	1930	1985
493	1932	1979
494	1934	1973
495	1936	1967
496	1938	1961
497	1939	1955
498	1944	1952
499	1946	1946
500	1948	1940
501	1950	1935
502	1952	1929
503	1954	1923
504	1958	1919
505	1960	1913
506	1962	1908
507	1964	1902
508	1966	1896
509	1968	1891
510	1969	1885
511	1972	1880
512	1974	1874
513	1977	1869
514	1979	1864
515	1982	1859
516	1985	1854
517	1987	1849
518	1989	1843
519	1991	1838
520	1993	1832
521	2003	1834
522	2005	1829
523	2009	1825
524	2015	1823
525	2017	1818
526	2019	1812
527	2021	1807
528	2027	1805
529	2030	1800
530	2032	1795
531	2035	1790
532	2042	1789
533	2045	1784
534	2047	1779
535	2049	1773
536	2051	1768
537	2056	1765
538	2058	1760
539	2060	1755
540	2062	1749
541	2064	1744
542	2068	1741
543	2071	1736
544	2073	1730
545	2075	1725
546	2077	1720
547	2079	1715
548	2084	1712
549	2086	1707
550	2089	1702
551	2091	1697
552	2093	1692
553	2095	1686
554	2100	1684
555	2102	1679
556	2104	1674
557	2107	1669
558	2109	1663
559	2115	1662
560	2118	1657
561	2121	1653
562	2123	1648
563	2131	1647
564	2135	1644
565	2138	1639
566	2140	1634
567	2145	1631
568	2147	1626
569	2149	1621
570	2151	1616
571	2153	1611
572	2155	1606
573	2160	1603
574	2162	1598
575	2164	1592
576	2165	1587
577	2167	1582
578	2169	1577
579	2173	1574
580	2175	1569
581	2177	1564
582	2179	1558
583	2181	1553
584	2182	1548
585	2184	1543
586	2189	1540
587	2191	1535
588	2192	1530
589	2194	1524
590	2196	1520
591	2198	1515
592	2204	1513
593	2208	1509
594	2210	1504
595	2212	1499
596	2214	1494
597	2217	1490
598	2220	1486
599	2222	1481
600	2223	1476
601	2225	1471
602	2227	1466
603	2231	1463
604	2234	1458
605	2236	1453
606	2237	1448
607	2239	1443
608	2241	1439
609	2243	1434
610	2247	1430
611	2249	1425
612	2250	1420
613	2252	1416
614	2254	1411
615	2256	1406
616	2260	1403
617	2262	1398
618	2264	1393
619	2266	1389
620	2268	1384
621	2270	1379
622	2271	1374
623	2275	1371
624	2277	1366
625	2280	1362
626	2282	1357
627	2284	1352
628	2286	1348
629	2290	1345
630	2292	1340
631	2294	1335
632	2295	1331
633	2297	1326
634	2299	1321
635	2303	1318
636	2306	1314
637	2310	1310
638	2312	1306
639	2315	1302
640	2318	1298
641	2320	1294
642	2322	1289
643	2324	1284
644	2325	1280
645	2328	1275
646	2332	1272
647	2334	1268
648	2336	1263
649	2339	1259
650	2341	1255
651	2347	1252
652	2349	1248
653	2351	1244
654	2353	1239
655	2355	1235
656	2360	1232
657	2363	1228
658	2365	1224
659	2367	1219
660	2369	1215
661	2371	1211
662	2374	1207
663	2376	1202
664	2379	1198
665	2381	1194
666	2383	1189
667	2387	1186
668	2391	1182
669	2394	1179
670	2396	1175
671	2399	1171
672	2405	1168
673	2407	1164
674	2409	1160
675	2411	1155
676	2413	1151
677	2418	1148
678	2421	1144
679	2423	1140
680	2425	1136
681	2427	1131
682	2433	1129
683	2435	1125
684	2437	1121
685	2440	1116
686	2442	1112
687	2447	1109
688	2449	1105
689	2451	1101
690	2453	1097
691	2455	1093
692	2458	1088
693	2462	1085
694	2464	1081
695	2466	1077
696	2468	1073
697	2470	1069
698	2473	1064
699	2478	1062
700	2480	1058
701	2482	1054
702	2485	1049
703	2487	1045
704	2492	1042
705	2496	1039
706	2498	1035
707	2501	1031
708	2505	1028
709	2507	1024
710	2509	1020
711	2511	1015
712	2513	1011
713	2515	1007
714	2516	1003
715	2520	999
716	2522	995
717	2524	991
718	2526	987
719	2528	983
720	2530	979
721	2532	974
722	2536	971
723	2539	967
724	2541	963
725	2543	959
726	2545	955
727	2547	951
728	2552	948
729	2554	944
730	2556	940
731	2557	936
732	2559	932
733	2561	928
734	2566	925
735	2569	921
736	2571	917
737	2573	913
738	2575	909
739	2581	907
740	2583	903
741	2585	899
742	2588	895
743	2590	891
744	2592	887
745	2595	883
746	2597	879
747	2599	875
748	2600	871
749	2602	867
750	2604	863
751	2608	860
752	2611	856
753	2613	852
754	2615	848
755	2617	844
756	2618	840
757	2623	837
758	2625	833
759	2626	829
760	2628	825
761	2630	821
762	2632	817
763	2633	813
764	2637	810
765	2639	806
766	2641	802
767	2643	798
768	2645	794
769	2647	790
770	2649	786
771	2653	783
772	2655	779
773	2657	775
774	2658	771
775	2660	768
776	2662	764
777	2667	761
778	2669	757
779	2672	753
780	2675	750
781	2677	746
782	2682	743
783	2685	739
784	2687	735
785	2689	732
786	2691	728
787	2697	725
788	2699	721
789	2701	718
790	2703	714
791	2705	710
792	2707	706
793	2712	703
794	2715	700
795	2717	696
796	2719	692
797	2721	688
798	2726	685
799	2728	682
800	2730	678
801	2732	674
802	2734	670
803	2737	667
804	2743	664
805	2745	660
806	2747	657
807	2749	653
808	2751	649
809	2757	646
810	2759	643
811	2761	639
812	2763	635
813	2765	632
814	2769	628
815	2773	625
816	2776	621
817	2780	618
818	2785	615
819	2787	611
820	2790	608
821	2792	604
822	2794	601
823	2796	597
824	2800	593
825	2802	590
826	2804	586
827	2806	583
828	2808	579
829	2814	576
830	2816	572
831	2818	569
832	2821	565
833	2823	561
834	2829	559
835	2831	555
836	2833	551
837	2835	548
838	2837	544
839	2842	541
840	2844	537
841	2846	534
842	2849	530
843	2851	527
844	2853	523
845	2857	520
846	2861	516
847	2863	513
848	2865	509
849	2867	506
850	2874	503
851	2876	499
852	2878	496
853	2880	492
854	2881	488
855	2886	485
856	2888	482
857	2890	478
858	2892	474
859	2894	471
860	2896	467
861	2898	464
862	2902	460
863	2904	457
864	2906	453
865	2908	449
866	2910	446
867	2912	442
868	2915	439
869	2917	435
870	2919	432
871	2921	428
872	2923	425
873	2929	422
874	2931	418
875	2933	415
876	2934	411
877	2936	408
878	2938	404
879	2943	401
880	2945	397
881	2947	394
882	2948	390
883	2950	387
884	2952	383
885	2957	380
886	2959	377
887	2961	373
888	2964	370
889	2966	366
890	2971	363
891	2973	360
892	2975	356
893	2977	353
894	2978	349
895	2980	345
896	2982	342
897	2987	339
898	2989	335
899	2991	332
900	2994	329
901	2997	325
902	3002	322
903	3004	319
904	3006	315
905	3008	312
906	3010	308
907	3011	305
908	3016	301
909	3018	298
910	3020	295
911	3022	291
912	3024	288
913	3026	284
914	3031	281
915	3034	278
916	3036	274
917	3038	271
918	3040	268
919	3046	264
920	3050	261
921	3053	258
922	3055	254
923	3060	251
924	3064	248
925	3066	245
926	3068	241
927	3070	238
928	3076	235
929	3078	231
930	3081	228
931	3083	224
932	3086	221
933	3091	218
934	3094	215
935	3096	211
936	3098	208
937	3100	204
938	3105	201
939	3108	198
940	3110	195
941	3113	191
942	3115	188
943	3121	185
944	3123	181
945	3125	178
946	3127	175
947	3129	171
948	3131	168
949	3137	165
950	3140	161
951	3144	158
952	3146	155
953	3152	151
954	3154	148
955	3156	145
956	3159	141
957	3161	138
958	3169	135
959	3173	132
960	3178	128
961	3183	125
962	3187	122
963	3197	119
964	3201	116
965	3205	112
966	3209	109
967	3213	106
968	3221	103
969	3226	99
970	3231	96
971	3239	93
972	3244	90
973	3253	86
974	3259	83
975	3267	80
976	3270	76
977	3274	73
978	3282	70
979	3285	67
980	3289	63
981	3297	60
982	3300	57
983	3304	53
984	3311	50
985	3315	47
986	3319	43
987	3327	40
988	3334	37
989	3343	33
990	3346	30
991	3350	27
992	3357	23
993	3360	20
994	3364	16
995	3373	13
996	3377	10
997	3384	6
998	3388	3
999	3392	0
